N:		T[ms]		Stdev[ms]	  Samples 
3600		0.76584		0.00222441		5

3600		11.0399		0.744071		5

3600		11.3831		1.89359		5

3600		10.8695		0.767308		5

3700		1.6761		0.0967629		5

3700		3.32028		0.0542726		5

3700		1.66198		0.137925		5

3700		0.92292		0.0631728		5

3700		1.86994		0.376995		5

3700		0.89762		0.0123111		5

3700		11.458		0.694653		5

3700		11.2682		0.279501		5

3700		11.0465		0.132155		5

3800		1.82824		0.0839214		5

3800		3.46272		0.0323006		5

3800		1.68808		0.0034521		5

3800		0.84764		0.000371484		5

3800		1.8093		0.270346		5

3800		0.85238		0.00361206		5

3800		11.9077		0.485412		5

3800		12.1496		0.94228		5

3800		12.5201		2.1024		5

3900		1.9262		0.0719		5

3900		3.6608		0.0642611		5

3900		1.95882		0.311911		5

3900		0.89688		0.0124279		5

3900		1.784		0.0103356		5

3900		0.89654		0.000384708		5

3900		12.7687		0.444395		5

3900		12.1673		0.191489		5

3900		12.8893		1.04554		5

4000		2.03286		0.0902398		5

4000		3.81964		0.0363723		5

4000		1.89876		0.0515675		5

4000		0.9407		0.00307977		5

4000		2.25228		0.751514		5

4000		0.94232		0.00286304		5

4000		13.9532		0.465612		5

4000		13.3591		0.606587		5

4000		13.6169		1.10662		5

4100		2.23174		0.29635		5

4100		4.05046		0.0494476		5

4100		2.01326		0.071127		5

4100		1.3703		0.587602		5

4100		2.2491		0.594083		5

4100		1.19534		0.271167		5

4100		14.2818		0.781608		5

4100		13.5371		0.0954004		5

4100		13.4566		0.218882		5

4200		2.3909		0.251377		5

4200		4.5959		0.572086		5

4200		2.06176		0.00795758		5

4200		1.03802		0.00681264		5

4200		2.60812		1.18161		5

4200		1.06912		0.0715586		5

4200		14.4411		0.599995		5

4200		14.3903		0.270532		5

4200		14.4413		0.516883		5

4300		2.54392		0.606328		5

4300		4.52364		0.265177		5

4300		2.24604		0.199896		5

4300		1.0827		0.00166733		5

4300		2.2018		0.0661623		5

4300		1.0855		0.00065192		5

4300		15.2169		0.700056		5

4300		15.4055		0.849654		5

4300		15.0501		0.323615		5

4400		2.37114		0.0813814		5

4400		4.68652		0.152199		5

4400		2.27384		0.0360358		5

4400		1.15654		0.0435716		5

4400		2.43232		0.378269		5

4400		1.18834		0.0706179		5

4400		15.8958		0.742392		5

4400		15.8514		0.855334		5

4400		16.7603		2.61312		5

4500		2.48572		0.0832498		5

4500		4.87968		0.0653711		5

4500		2.47692		0.0859319		5

4500		1.18324		0.00207437		5

4500		2.42582		0.117212		5

4500		1.18634		0.00192432		5

4500		16.6902		0.692598		5

4500		16.7842		1.10176		5

4500		16.6835		0.475937		5

4600		2.58102		0.0548713		5

4600		5.14846		0.22943		5

4600		2.50528		0.091004		5

4600		1.2505		0.0195686		5

4600		2.57334		0.125832		5

4600		1.26022		0.0305797		5

4600		17.1942		0.371941		5

4600		17.1534		0.179336		5

4600		17.2629		0.448148		5

4700		2.69936		0.0908481		5

4700		5.36374		0.262717		5

4700		2.7057		0.138148		5

4700		1.2897		0.00171756		5

4700		2.60098		0.0471791		5

4700		1.30776		0.0307864		5

4700		18.2963		0.704172		5

4700		18.1175		0.451329		5

4700		18.8029		1.80102		5

4800		2.845		0.120889		5

4800		5.88094		0.802306		5

4800		3.00584		0.732179		5

4800		1.34938		0.00746773		5

4800		2.71578		0.0691288		5

4800		1.35756		0.0166282		5

4800		18.9597		0.856953		5

4800		18.8801		0.471104		5

4800		19.4566		1.26122		5

4900		3.36776		1.02609		5

4900		5.74078		0.0332886		5

4900		2.87222		0.131615		5

4900		1.91794		0.491541		5

4900		2.8474		0.112452		5

